,message_id,actor_id,engagement_type,engagement_parent,text,univ_id,time_published,media_type,geo,index_text,keyN,tweet_counts,user_counts,gpt_label,manual_label,is_gt,label
302,2056141,2804,retweet,1643ba2ed629310656f1ef78970c1c9515987bc425e9ed8b8b4c35aa5ca9bebd,"RT @BenjaminNorton Britain and Japan (both of which previously colonized parts of China) are joining the US in preparing for war with China. Britain and Japan signed a military agreement allowing troops to be deployed to each other's country, while planning joint exercises https://t.co/FlBnACVPoq",,1673682085,Twitter,,agreement allowing britain britain china china colonized country deployed exercises japan japan joining joint military parts planning preparing previously rt signed troops war,23,69,115,opposing,,0,
304,4919605,2804,retweet,89f106be285087446982c48d103751d7c758257cc7942df886d6f82995144265,"RT @altermidya Groups held a protest at Camp Aguinaldo, Quezon City earlier today, in time for US Defense Secretary Lloyd J. Austin III's visit to the Philippines. The visit, according to the protesters, seeks to expedite military agreements with US. 📸 John Carlo Magallon/Altermidya https://t.co/mRxA2QoB82",,1675428327,Twitter,,agreements aguinaldo altermidya austin camp carlo city defense earlier expedite groups held iii john lloyd magallon military philippines protest protesters quezon rt secretary seeks time today visit visit,28,19,115,opposing,,0,
305,4021526,2804,retweet,b810a32edc42923a063ef7cf11358a5165499c63fc52fce621833add1fb097da,"RT @iamwhatiam300 Para clear lang,the stupid Noynoy started EDCA.Digong tried to terminate VFA but the mighty America won't give us your favorite mRNA vaccines coz you didn't like Chinese-made Sinovac. So,to pacify your crying assholes,he restored the pact.Then,PBBM's DND played w/ the fire. https://t.co/ozdcnPERFW",,1675332609,Twitter,,america assholes chinese clear coz crying digong dnd edca favorite fire give lang made mighty mrna noynoy pacify pact para pbbm played restored rt sinovac started stupid terminate vaccines vfa,30,14,115,opposing,,0,
308,5699235,2804,retweet,6b89ad2715684b6690bf366af688dfef96b0c6835fb2a58ae7064435d1706c30,"RT @iamwhatiam300 Filipinos fooling themselves by believing that the new US bases in the Philippines will help us with the WPS conflict when in reality, we're helping the USA to protect Taiwan. Why would the USA help us? Taiwan is USA's chip-maker while Pinas is just their baby-maker. Duh!",,1675432791,Twitter,,baby bases believing chip conflict duh filipinos fooling helping maker maker philippines pinas protect reality rt taiwan taiwan usa usa usa wps,22,12,115,opposing,opposing,1,
309,5360264,2804,retweet,361c33762fdca097703542f4a83d8f7e9929c9ba1a004a592357881c6dd909d8,"RT öiamwaam300 Just as a clear to Mark loyalists who again blame Dig for EDCA w/c heed to scirap btw, here's the number of US military bases in the Philippines as APROVED by the SITTING Presnet: Noynoy Aqui5- Rodrigo-te 0zer,nilado, Bonagg 4 +cs/to): Noycachecachet/V.",,1675432731,Twitter,,0zer aproved aqui5 bases blame bonagg btw clear cs dig edca heed loyalists mark military nilado noycachecachet noynoy number philippines presnet rodrigo rt scirap sitting te öiamwaam300,27,13,115,opposing,,0,
315,3675248,2804,retweet,89560899b8b98dec33b528c96008901c542cd19cc95c7574160c3db60b0e975a,"RT @natoreyes The Philippine government should disclose the terms of the 9 agreed locations for US facilities in the Philippines. EDCA says that these facilities will be under the operational control of the US. There is no ""joint control"" here.",,1675559176,Twitter,,agreed control control disclose edca facilities facilities government joint locations operational philippine philippines rt terms,15,25,115,opposing,,0,
317,647987,2804,retweet,15ced3ad3c3f5eaf02e59dbb905d9340a51f239ca19bd1a0f6350265a40099d6,"RT @natoreyes There is no ""joint control"" or ""joint command"" of agreed locations under EDCA. The DND is deceiving the people. The Philippines in fact authorizes the US to use Philippine facilities for an array of activities, free of charge. No rent will be paid by the US. https://t.co/ecHLKpiAP7",,1675559157,Twitter,,activities agreed array authorizes charge command control deceiving dnd edca facilities fact free joint joint locations paid people philippine philippines rent rt,22,24,115,opposing,,0,
318,2679217,2804,retweet,093031f6a95937802c247eea77c81ec3113ef839b6cf472220a81f9156353043,RT ęcinecine30 EDCA will help modernize ur AFP. come on dude.,,1675555882,Twitter,,afp dude edca modernize rt ur ęcinecine30,7,11,115,supportive,,0,
320,4960298,2804,retweet,6dd73d762cf06fce98014af201ffde48cd1c5a689a088ceb4f235e3c03363f90,"RT @iamwhatiam300 Under Noynoy's watch,China started bulding military complex in WPS.Instead of talking to Xi,he talked to Obama &started EDCA.With 5 US 'bases' inside our country,w/ 1 located just miles away from Spratly,what did we achieve in WPS? Nothing. So,ano benefit ng additional 4 bases?",,1675575237,Twitter,,achieve additional ano bases bases benefit bulding china complex country edca inside located miles military ng noynoy obama rt spratly started talked talking watch wps wps xi,27,10,115,opposing,,0,
330,6066315,2804,retweet,34a6a07a3d77e94cb2ea089402f3d06484766807f1c14702875b5c05bd2edf4e,"RT ęwokeinamm Did you have a see wow Americans detreated security teams when Kamala viveds, they vote, we're just muchachos in our own country! That’s the outcome for EDCA.",,1675739812,Twitter,,americans country detreated edca kamala muchachos outcome rt security teams viveds vote wow ęwokeinamm,14,12,115,opposing,,0,
