,message_id,actor_id,engagement_type,engagement_parent,text,univ_id,time_published,media_type,geo,index_text,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt
0,1952608,33068,retweet,50e2eb6e6145ecd0e782d90ebe3ea701b3913b514e728863a3d444c04dc3ee25,"RT @Constanze2022 A few days ago, the Chinese discovered that the US military was using tents from China. Only now it turned out these tents are from a humanitarian convoy that China sent to Syria. The Americans are not only stealing oil from Syria, but also humanitarian aid. https://t.co/9zSG3dwR6v",,1679038083,Twitter,,ago aid americans china china chinese convoy days discovered humanitarian humanitarian military oil rt stealing syria syria tents tents turned,20,energy,,4424,17,opposing,,0
1,119938,33068,retweet,f54d63d353c8b41f50227d02c51cd2402e04a98983adf7ac6bfe397776482aa3,"RT @upholdreality Col. DOUGLAS MACGREGOR: ""China did not rob us of our manufacturing base, we robbed ourselves of it. Greedy people in Washington and the corporate sector shipped those things out. This is what people need to get in their heads: stop looking overseas for someone to blame for the… https://t.co/MJ24L9EuCv",,1678492034,Twitter,,base blame china col corporate douglas greedy heads macgregor manufacturing overseas people people rob robbed rt sector shipped stop things washington,21,energy,,1905,17,supportive,,0
2,6265345,33068,retweet,8cb8d49633405fe7d4f664ab1d14da29606116f746a445dd7e8e79cc87aeae6b,"RT @PeImeniPusha An activist interrupted Blinken's speech, calling for negotiations with Russia because the U.S. is waging a dangerous proxy war. ""If you don't like China's proposals, where are your peace proposals?"" the woman asked. https://t.co/kZS6tkIUa6",,1679570628,Twitter,,activist asked blinken calling china dangerous interrupted negotiations peace proposals proposals proxy rt russia speech waging war woman,18,energy,,440,17,neutral,neutral,1
3,2117699,33068,retweet,09130267a600da5c7128bd45deb40a790013918f729ed777e202ff7986e4fb52,RT @RepTroyNehls Why did 97 Democrats vote against a ban on selling American oil to China?,,1673701928,Twitter,,american ban china democrats oil rt selling vote,8,energy,,2850,17,opposing,,0
4,2093614,1406831,retweet,50e2eb6e6145ecd0e782d90ebe3ea701b3913b514e728863a3d444c04dc3ee25,"RT @Constanze2022 A few days ago, the Chinese discovered that the US military was using tents from China. Only now it turned out these tents are from a humanitarian convoy that China sent to Syria. The Americans are not only stealing oil from Syria, but also humanitarian aid. https://t.co/9zSG3dwR6v",,1679001199,Twitter,,ago aid americans china china chinese convoy days discovered humanitarian humanitarian military oil rt stealing syria syria tents tents turned,20,energy,,4424,5,opposing,,0
5,4630522,1406831,retweet,a23cbdef8f8a23f1acc9bd917f786bb329fb92f2a694267aeb8a58f6ed8c705a,RT @jimmy_dore America invaded Syria & is currently occupying 1/3 of the country-the part with the Oil & Wheat. The U.S. is the worlds terrorists not Russia & not China. We are ruled by psychopaths who are terrorizing the world while starting TWO ECONOMIC WARS w/Nuclear powers Americans cheer,,1678051561,Twitter,,america americans cheer china country economic invaded nuclear occupying oil part powers psychopaths rt ruled russia starting syria terrorists terrorizing wars wheat world worlds,24,energy,,725,5,supportive,,0
6,5689564,8756,retweet,50e2eb6e6145ecd0e782d90ebe3ea701b3913b514e728863a3d444c04dc3ee25,"RT @Constanze2022 A few days ago, the Chinese discovered that the US military was using tents from China. Only now it turned out these tents are from a humanitarian convoy that China sent to Syria. The Americans are not only stealing oil from Syria, but also humanitarian aid. https://t.co/9zSG3dwR6v",,1679020450,Twitter,,ago aid americans china china chinese convoy days discovered humanitarian humanitarian military oil rt stealing syria syria tents tents turned,20,energy,,4424,56,opposing,,0
7,2783360,8756,retweet,e57f93a054e1239da77e0d416ba20f29d35a6431b0a19076d944339b8447cf85,"RT @Kanthan2030 China is the world’s #1 manufacturer of cars and the #2 exporter of cars. And China’s #1 customer is… Putin! I mean, Russia. The U.S. and its non-sovereign puppet continent known as Europe must understand that the world has become more self-sufficient and resilient. The… https://t.co/TVwgLVHcmb",,1680127932,Twitter,,cars cars china china continent customer europe exporter manufacturer puppet putin resilient rt russia sovereign sufficient understand world world,19,energy,,287,56,supportive,,0
8,2820498,8756,retweet,52113344c512c2e7ffb84c5ebf2fd7dede546c5f40317e65358cf85d99d7135e,RT @KimDotcom All Russia and China have to do is the gradual de-dollarization of global trade with their BRICS+ partners and wait. No escalation. No overreaction to US provocations. Patience and time. Within 3 years the US Govt runs out of oxygen. Just listen and chill: https://t.co/lPOtJsghmm,,1684804384,Twitter,,brics chill china de dollarization escalation global govt gradual listen overreaction oxygen partners patience provocations rt runs russia time trade wait years,22,energy,,438,56,supportive,,0
9,4543356,8756,retweet,72212a31d8a5364171827707c8847d75238fb665ebb1aa153c6cecfc83fd2ada,RT @bobitiglao EDCA gives US two international airports to use for war with China https://t.co/8e0pNYTlWk,,1681871109,Twitter,,airports china edca international rt war,6,energy,,38,56,opposing,,0
