,message_id,actor_id,engagement_type,engagement_parent,text,univ_id,time_published,media_type,geo,index_text,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt
0,261974,147327,retweet,d1e0b47d9b7c94a1408e6b2130259faf54587b9038475636715e3a96fefba3da,"RT @NiMingda_GG But don't worry. None of that will happen if the U.S. minds its own business. However, if the U.S. insists on provoking a conflict with China, then the American ruling elites will only have themselves to blame when war & destruction visit the U.S. homeland.",,1677193979,Twitter,,american blame business china conflict destruction elites happen homeland insists minds provoking rt ruling visit war worry,17,insurgent_threats,,88,2,opposing,,0
1,6948334,147327,retweet,140bdd6cfb84573fcc82db607650c1da88dec3718423260410eb2b73b948dba8,"RT @blackintheempir China won and they did it without coups, sanctions, assassinations, invasions and bullying and on top of that they've managed to improve life in their country over the past few decades, unlike the United States.",,1680674936,Twitter,,assassinations bullying china country coups decades improve invasions life managed past rt sanctions states top united unlike won,18,insurgent_threats,,245,2,opposing,,0
2,1592536,48159,retweet,d1e0b47d9b7c94a1408e6b2130259faf54587b9038475636715e3a96fefba3da,"RT @NiMingda_GG But don't worry. None of that will happen if the U.S. minds its own business. However, if the U.S. insists on provoking a conflict with China, then the American ruling elites will only have themselves to blame when war & destruction visit the U.S. homeland.",,1677988763,Twitter,,american blame business china conflict destruction elites happen homeland insists minds provoking rt ruling visit war worry,17,insurgent_threats,,88,3,opposing,,0
3,6524465,48159,retweet,e0a104dd36b75161432def7ffff92d8540688d35194c29f1cc364560e670dc81,"RT @NiMingda_GG 4/ The majority of the world's population is rebelling against the Anglo-American Empire & its racist, exploitative “rules-based international order”. They're simply expressing that rebellion by supporting Russia against the U.S./West which is using Ukraine as a shield.",,1674588169,Twitter,,american anglo based empire exploitative expressing international majority order population racist rebelling rebellion rt rules russia shield simply supporting ukraine west world,22,insurgent_threats,,40,3,opposing,,0
4,2769632,48159,retweet,259c618812cffc33d0daff7db6103fcc80c3beadc69e5eb8e36e2b4a17363f50,"RT @MadamMiaow Chinese people were shocked by America's aggression when China started to catch up. Now they're pissed off that the Military Industry Complex plans to destroy their country. UK in the frame. The West's grown-ups had better step in soon, screw the compromat leverage. THREAD",,1677279386,Twitter,,aggression america catch china chinese complex compromat country destroy frame grown industry leverage military people pissed plans rt screw shocked started step thread uk ups west,26,domestic_political_issues,insurgent_threats,9,3,opposing,,0
5,3530027,102445,retweet,d1e0b47d9b7c94a1408e6b2130259faf54587b9038475636715e3a96fefba3da,"RT @NiMingda_GG But don't worry. None of that will happen if the U.S. minds its own business. However, if the U.S. insists on provoking a conflict with China, then the American ruling elites will only have themselves to blame when war & destruction visit the U.S. homeland.",,1681033361,Twitter,,american blame business china conflict destruction elites happen homeland insists minds provoking rt ruling visit war worry,17,insurgent_threats,,88,2,opposing,,0
6,2089903,102445,retweet,3603d9dd3fef3fe1d9a1f590b393b0b5173043c3d65fee75d99fa61b69145130,"RT @apocalypseos “It is the US, not China, that is throwing weapons on the battlefield. The US is in no position to tell China what to do. We will never tolerate the US pointing the finger, or even coercing and putting pressure on our relationship with Russia.” — Wang Wenbin https://t.co/xoJFwZvGoS",,1680863410,Twitter,,battlefield china china coercing finger pointing position pressure putting relationship rt russia throwing tolerate wang weapons wenbin,17,insurgent_threats,,453,2,opposing,,0
7,1821826,47028,retweet,d1e0b47d9b7c94a1408e6b2130259faf54587b9038475636715e3a96fefba3da,"RT @NiMingda_GG But don't worry. None of that will happen if the U.S. minds its own business. However, if the U.S. insists on provoking a conflict with China, then the American ruling elites will only have themselves to blame when war & destruction visit the U.S. homeland.",,1678354405,Twitter,,american blame business china conflict destruction elites happen homeland insists minds provoking rt ruling visit war worry,17,insurgent_threats,,88,2,opposing,,0
8,1989337,45002,retweet,d1e0b47d9b7c94a1408e6b2130259faf54587b9038475636715e3a96fefba3da,"RT @NiMingda_GG But don't worry. None of that will happen if the U.S. minds its own business. However, if the U.S. insists on provoking a conflict with China, then the American ruling elites will only have themselves to blame when war & destruction visit the U.S. homeland.",,1677219243,Twitter,,american blame business china conflict destruction elites happen homeland insists minds provoking rt ruling visit war worry,17,insurgent_threats,,88,3,opposing,,0
9,2302811,45002,retweet,e0a104dd36b75161432def7ffff92d8540688d35194c29f1cc364560e670dc81,"RT @NiMingda_GG 4/ The majority of the world's population is rebelling against the Anglo-American Empire & its racist, exploitative “rules-based international order”. They're simply expressing that rebellion by supporting Russia against the U.S./West which is using Ukraine as a shield.",,1674572828,Twitter,,american anglo based empire exploitative expressing international majority order population racist rebelling rebellion rt rules russia shield simply supporting ukraine west world,22,insurgent_threats,,40,3,opposing,,0
