,message_id,actor_id,engagement_type,engagement_parent,text,univ_id,time_published,media_type,geo,index_text,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt
0,4499175,33068,retweet,95c6b616d4119403c1086ab0494993bfc207da1c3f168d2d7da91f81434b724f,"RT @RnaudBertrand Wow, I believe this is the first time ever that China comments on another country's treatment of their own population. https://t.co/KeitWdayo4",,1681562388,Twitter,,china comments country population rt time treatment wow,8,labor_and_migration,,146,17,neutral,,0
1,3496441,33068,retweet,15717ff88ec976afd33a746eec3a5cfffd55fbe1bc12214fe26e9d542d9175b1,"RT @Kanthan2030 The impressive ""China Model"" that emerged as the clear winner in the last 20 years.👇 Western neoliberalism has languished. And they have no explanation other than crying, ""But we have freedom and democracy."" The fake logic here is, of course, that somehow freedom and democracy… https://t.co/B9oSyRoaN2",,1682303273,Twitter,,china clear crying democracy democracy emerged explanation fake freedom freedom impressive languished logic model neoliberalism rt western winner years,19,labor_and_migration,,607,17,supportive,,0
2,4852666,33068,retweet,4dad9f689e5241e7d932ccbd18ef530b429022403b0bde9e678cafd6d10d5d39,"RT @caitoz Imagine If China Did To The US What The US Is Doing To China ""Your brain would have to be made of soup not to look at that graphic and understand who the real aggressor is here."" https://t.co/LRpOjqA6Hp",,1676812239,Twitter,,aggressor brain china china graphic imagine made real rt soup understand,11,labor_and_migration,,641,17,supportive,,0
3,3616576,20135,retweet,4dad9f689e5241e7d932ccbd18ef530b429022403b0bde9e678cafd6d10d5d39,"RT @caitoz Imagine If China Did To The US What The US Is Doing To China ""Your brain would have to be made of soup not to look at that graphic and understand who the real aggressor is here."" https://t.co/LRpOjqA6Hp",,1676834846,Twitter,,aggressor brain china china graphic imagine made real rt soup understand,11,labor_and_migration,,641,32,supportive,,0
4,2292831,20135,retweet,a438863b371278900bdd016d00b8fd241064a8f0af06d02a6e6cd1beeec0c8ac,RT @wallacemick We had a very good meeting today in Beijing with the European Affairs International Department Central Committee CPC - The #EU needs to develop an Independent approach to #China that best serves the interests of the people of Europe and China... https://t.co/3bmnKoiz6U,,1680557808,Twitter,,affairs approach beijing central china china committee cpc department develop europe european good independent interests international meeting people rt serves today,21,labor_and_migration,,221,32,supportive,,0
5,4940105,20135,retweet,c6be047fc9f7290ab057edbe497941c1144acd663216bfb3c1382bc0f567e95d,RT @caitoz For thousands of years China has been sorting out its own affairs without the help of white westerners concern trolling about territorial sovereignty and human rights. They don't suddenly now need our help because something something rules-based order. Leave China to China.,,1682763844,Twitter,,affairs based china china china concern human leave order rights rt rules sorting sovereignty suddenly territorial thousands trolling westerners white years,21,labor_and_migration,,84,32,supportive,,0
6,3207278,20135,retweet,d6001f1de70c3d8dacd6b9186eb1bd4a1bbc30a561b17ee8e46c1f6d59ef0831,"RT @globaltimesnews #Breaking: In response to #Canada's unreasonable expulsion of a Chinese diplomat, the Chinese Foreign Ministry announced on Tue to list a consul of the Canadian Consulate General in Shanghai as ""persona non grata"" and has asked the Canadian diplomat to leave China before May 13.… https://t.co/IC4urNl79L",,1683610340,Twitter,,13 announced asked canadian canadian china chinese chinese consul consulate diplomat diplomat expulsion foreign general grata leave list ministry persona response rt shanghai tue unreasonable,25,labor_and_migration,,48,32,opposing,,0
7,584582,104853,retweet,f498a10012e1cfb64d01c2c541ae2ba58710493a806da13f1207f122074289d4,"RT @Kanthan2030 Uyghurs are less than 0.1% of China’s population. There’s no need for the Chinese government to harass them. However, it also shows how foreign subversion can create massive instability and worldwide propaganda using 1% of 0.1%. The US efforts failed spectacularly but still… https://t.co/RxqXVkASMq",,1686756921,Twitter,,china chinese create efforts failed foreign government harass instability massive population propaganda rt shows spectacularly subversion uyghurs worldwide,18,labor_and_migration,,205,12,neutral,opposing,1
8,4528503,104853,retweet,b603296a3c379dd72d1e072ea8b62fe83ac0302276f795ff25a8e22a4aaa5b59,RT @SpiritofHo The U.S. doesn't belong in the South China Sea. It has no right to lecture China on the South *China* Sea.,,1677496131,Twitter,,belong china china china lecture rt sea sea south south,10,labor_and_migration,,39,12,supportive,,0
9,3036690,104853,retweet,196a7c240f0dc39d7280e26b237b4e305853e52278ada49000efdc91379859dc,"RT @RichardJBardon Haha, no. Taiwan has no ""sovereign territory"" because it is universally legally recognised (including by the US & its own government) as part of China. Nor can the US claim transit rights contingent to a treaty (UNCLOS) it has not ratified. Go back to school.",,1686012761,Twitter,,back china claim contingent government haha including legally part ratified recognised rights rt school sovereign taiwan territory transit treaty unclos universally,21,labor_and_migration,,246,12,opposing,,0
